gpu:0
Preparing data...
Preparing done...
average sequence length: 163.50
  5%|▍         | 296/6040 [00:05<01:37, 59.19it/s]
 10%|▉         | 592/6040 [00:10<01:33, 58.39it/s]
 15%|█▍        | 884/6040 [00:15<01:29, 57.79it/s]
 19%|█▉        | 1173/6040 [00:20<01:25, 57.20it/s]
 25%|██▍       | 1480/6040 [00:25<01:17, 58.69it/s]
 29%|██▉       | 1774/6040 [00:30<01:12, 58.62it/s]
 34%|███▍      | 2068/6040 [00:35<01:08, 58.39it/s]
 39%|███▉      | 2360/6040 [00:40<01:03, 58.09it/s]
 44%|████▍     | 2651/6040 [00:45<00:59, 56.73it/s]
 49%|████▊     | 2935/6040 [00:51<00:55, 55.91it/s]
 53%|█████▎    | 3216/6040 [00:56<00:50, 55.97it/s]
 58%|█████▊    | 3505/6040 [01:01<00:44, 56.47it/s]
 63%|██████▎   | 3793/6040 [01:06<00:39, 56.78it/s]
 68%|██████▊   | 4084/6040 [01:11<00:34, 57.20it/s]
 72%|███████▏  | 4371/6040 [01:16<00:29, 56.62it/s]
 77%|███████▋  | 4655/6040 [01:21<00:24, 56.12it/s]
 82%|████████▏ | 4943/6040 [01:26<00:19, 56.52it/s]
 87%|████████▋ | 5231/6040 [01:31<00:14, 56.83it/s]
 91%|█████████▏| 5524/6040 [01:36<00:08, 57.35it/s]
 96%|█████████▌| 5811/6040 [01:41<00:04, 57.06it/s]
100%|██████████| 6040/6040 [01:45<00:00, 57.07it/s]
Epoch:60, time: 90.191576(s) 
valid (NDCG@10: 0.5824, HR@10: 0.8175)

  0%|          | 0/6040 [00:00<?, ?it/s]
  5%|▍         | 295/6040 [00:05<01:37, 58.95it/s]
 10%|█         | 604/6040 [00:10<01:29, 60.52it/s]
 15%|█▌        | 907/6040 [00:15<01:27, 58.77it/s]
 20%|██        | 1211/6040 [00:20<01:21, 59.51it/s]
 25%|██▍       | 1509/6040 [00:25<01:17, 58.55it/s]
 30%|██▉       | 1802/6040 [00:30<01:13, 57.67it/s]
 35%|███▍      | 2092/6040 [00:35<01:08, 57.74it/s]
 40%|███▉      | 2401/6040 [00:40<01:01, 58.96it/s]
 45%|████▍     | 2708/6040 [00:45<00:55, 59.67it/s]
 50%|████▉     | 3016/6040 [00:50<00:50, 60.21it/s]
 55%|█████▍    | 3318/6040 [00:56<00:45, 59.52it/s]
 60%|█████▉    | 3619/6040 [01:01<00:40, 59.72it/s]
 65%|██████▌   | 3936/6040 [01:06<00:34, 60.79it/s]
 70%|███████   | 4241/6040 [01:11<00:29, 60.52it/s]
 75%|███████▌  | 4548/6040 [01:16<00:24, 60.78it/s]
 80%|████████  | 4853/6040 [01:21<00:19, 60.70it/s]
 85%|████████▌ | 5157/6040 [01:26<00:14, 59.37it/s]
 90%|█████████ | 5465/6040 [01:31<00:09, 59.97it/s]
 95%|█████████▌| 5766/6040 [01:36<00:04, 59.73it/s]
100%|██████████| 6040/6040 [01:41<00:00, 59.56it/s]test (NDCG@10: 0.5558, HR@10: 0.7932)
Epoch 61 iteration 0: 0.45801711082458496
Epoch 61 iteration 10: 0.4421714246273041
Epoch 61 iteration 20: 0.44216349720954895
Epoch 61 iteration 30: 0.4423859119415283
Epoch 61 iteration 40: 0.4350498616695404
Epoch 62 iteration 0: 0.44229575991630554
Epoch 62 iteration 10: 0.4778602123260498
Epoch 62 iteration 20: 0.4623531997203827
Epoch 62 iteration 30: 0.4566722512245178
Epoch 62 iteration 40: 0.4465210437774658
Epoch 63 iteration 0: 0.4575577676296234
Epoch 63 iteration 10: 0.42475003004074097
Epoch 63 iteration 20: 0.46654802560806274
Epoch 63 iteration 30: 0.4689812958240509
Epoch 63 iteration 40: 0.4767300486564636
Epoch 64 iteration 0: 0.4579198956489563
Epoch 64 iteration 10: 0.4469827115535736
Epoch 64 iteration 20: 0.42442330718040466
Epoch 64 iteration 30: 0.44964927434921265
Epoch 64 iteration 40: 0.46407392621040344
Epoch 65 iteration 0: 0.4601738154888153
Epoch 65 iteration 10: 0.45421209931373596
Epoch 65 iteration 20: 0.4506232440471649
Epoch 65 iteration 30: 0.4412975013256073
Epoch 65 iteration 40: 0.48115527629852295
Epoch 66 iteration 0: 0.448041707277298
Epoch 66 iteration 10: 0.4416329860687256
Epoch 66 iteration 20: 0.46194684505462646
Epoch 66 iteration 30: 0.452305406332016
Epoch 66 iteration 40: 0.46358686685562134
Epoch 67 iteration 0: 0.45098161697387695
Epoch 67 iteration 10: 0.41181373596191406
Epoch 67 iteration 20: 0.44054320454597473
Epoch 67 iteration 30: 0.4389788806438446
Epoch 67 iteration 40: 0.43855807185173035
Epoch 68 iteration 0: 0.48298895359039307
Epoch 68 iteration 10: 0.43658459186553955
Epoch 68 iteration 20: 0.43558743596076965
Epoch 68 iteration 30: 0.47416800260543823
Epoch 68 iteration 40: 0.463941752910614
Epoch 69 iteration 0: 0.4603155553340912
Epoch 69 iteration 10: 0.4265472888946533
Epoch 69 iteration 20: 0.44108882546424866
Epoch 69 iteration 30: 0.45300033688545227
Epoch 69 iteration 40: 0.4329478144645691
Epoch 70 iteration 0: 0.42830103635787964
Epoch 70 iteration 10: 0.45818349719047546
Epoch 70 iteration 20: 0.4313393831253052
Epoch 70 iteration 30: 0.4430719316005707
Epoch 70 iteration 40: 0.44447556138038635
Epoch 71 iteration 0: 0.43025630712509155
Epoch 71 iteration 10: 0.4183991849422455
Epoch 71 iteration 20: 0.43264269828796387
Epoch 71 iteration 30: 0.4341278374195099
Epoch 71 iteration 40: 0.4582021236419678
Epoch 72 iteration 0: 0.44078361988067627
Epoch 72 iteration 10: 0.45233118534088135
Epoch 72 iteration 20: 0.4111967086791992
Epoch 72 iteration 30: 0.4176345467567444
Epoch 72 iteration 40: 0.4222331941127777
Epoch 73 iteration 0: 0.426047682762146
Epoch 73 iteration 10: 0.39233142137527466
Epoch 73 iteration 20: 0.43303894996643066
Epoch 73 iteration 30: 0.42025306820869446
Epoch 73 iteration 40: 0.45325228571891785
Epoch 74 iteration 0: 0.4207908511161804
Epoch 74 iteration 10: 0.39451271295547485
Epoch 74 iteration 20: 0.4312354028224945
Epoch 74 iteration 30: 0.4414675533771515
Epoch 74 iteration 40: 0.4248559772968292
Epoch 75 iteration 0: 0.455706387758255
Epoch 75 iteration 10: 0.4743698239326477
Epoch 75 iteration 20: 0.4519442021846771
Epoch 75 iteration 30: 0.44445428252220154
Epoch 75 iteration 40: 0.4562382102012634
Epoch 76 iteration 0: 0.4386441707611084
Epoch 76 iteration 10: 0.4344608187675476
Epoch 76 iteration 20: 0.44265782833099365
Epoch 76 iteration 30: 0.4284452795982361
Epoch 76 iteration 40: 0.46078914403915405
Epoch 77 iteration 0: 0.44372454285621643
Epoch 77 iteration 10: 0.4365790784358978
Epoch 77 iteration 20: 0.4781038165092468
Epoch 77 iteration 30: 0.4401455521583557
Epoch 77 iteration 40: 0.4410862624645233
Epoch 78 iteration 0: 0.42192891240119934
Epoch 78 iteration 10: 0.4545500576496124
Epoch 78 iteration 20: 0.4479762315750122
Epoch 78 iteration 30: 0.41744861006736755
Epoch 78 iteration 40: 0.41321834921836853
Epoch 79 iteration 0: 0.4502837657928467
Epoch 79 iteration 10: 0.42106691002845764
Epoch 79 iteration 20: 0.429534912109375
Epoch 79 iteration 30: 0.43135586380958557
Epoch 79 iteration 40: 0.43200573325157166
Epoch 80 iteration 0: 0.45493966341018677
Epoch 80 iteration 10: 0.41616764664649963
Epoch 80 iteration 20: 0.41923052072525024
Epoch 80 iteration 30: 0.4254673719406128
Epoch 80 iteration 40: 0.40828776359558105

/usr/local/lib/python3.8/dist-packages/paddle/framework/io.py:415: DeprecationWarning: Using or importing the ABCs from 'collections' instead of from 'collections.abc' is deprecated since Python 3.3, and in 3.10 it will stop working
  if isinstance(obj, collections.Iterable) and not isinstance(obj, (
Evaluating...

  0%|          | 0/6040 [00:00<?, ?it/s]
  5%|▍         | 288/6040 [00:05<01:40, 57.48it/s]
 10%|▉         | 576/6040 [00:10<01:37, 56.14it/s]
 14%|█▍        | 871/6040 [00:15<01:30, 57.37it/s]
 19%|█▉        | 1164/6040 [00:20<01:24, 57.82it/s]
 24%|██▍       | 1458/6040 [00:25<01:18, 58.14it/s]
 29%|██▉       | 1749/6040 [00:30<01:14, 57.73it/s]
 34%|███▎      | 2038/6040 [00:35<01:10, 56.95it/s]
 38%|███▊      | 2323/6040 [00:40<01:06, 56.31it/s]
 43%|████▎     | 2607/6040 [00:45<01:00, 56.45it/s]
 48%|████▊     | 2896/6040 [00:50<00:55, 56.84it/s]
 53%|█████▎    | 3181/6040 [00:55<00:50, 56.61it/s]
 57%|█████▋    | 3470/6040 [01:00<00:45, 56.94it/s]
 62%|██████▏   | 3755/6040 [01:06<00:40, 56.29it/s]
 67%|██████▋   | 4037/6040 [01:11<00:35, 56.13it/s]
 72%|███████▏  | 4319/6040 [01:16<00:30, 56.17it/s]
 76%|███████▌  | 4601/6040 [01:21<00:25, 56.19it/s]
 81%|████████  | 4884/6040 [01:26<00:20, 56.31it/s]
 86%|████████▌ | 5170/6040 [01:31<00:15, 56.54it/s]
 90%|█████████ | 5453/6040 [01:36<00:10, 55.89it/s]
 95%|█████████▍| 5733/6040 [01:41<00:05, 54.74it/s]
100%|█████████▉| 6022/6040 [01:46<00:00, 55.58it/s]
100%|██████████| 6040/6040 [01:47<00:00, 56.43it/s]
Epoch:80, time: 120.910180(s) 
valid (NDCG@10: 0.5930, HR@10: 0.8260)

  0%|          | 0/6040 [00:00<?, ?it/s]
  5%|▍         | 296/6040 [00:05<01:37, 59.01it/s]
 10%|▉         | 592/6040 [00:10<01:36, 56.46it/s]
 14%|█▍        | 875/6040 [00:15<01:33, 55.10it/s]
 19%|█▉        | 1156/6040 [00:20<01:27, 55.51it/s]
 24%|██▎       | 1434/6040 [00:25<01:23, 55.21it/s]
 28%|██▊       | 1718/6040 [00:30<01:17, 55.69it/s]
 33%|███▎      | 1997/6040 [00:35<01:13, 55.31it/s]
 38%|███▊      | 2274/6040 [00:40<01:08, 55.29it/s]
 42%|████▏     | 2551/6040 [00:46<01:03, 54.92it/s]
 47%|████▋     | 2838/6040 [00:51<00:57, 55.66it/s]
 52%|█████▏    | 3144/6040 [00:56<00:50, 57.32it/s]
 57%|█████▋    | 3431/6040 [01:01<00:45, 57.17it/s]
 62%|██████▏   | 3733/6040 [01:06<00:39, 58.10it/s]
 67%|██████▋   | 4024/6040 [01:11<00:35, 57.59it/s]
 71%|███████▏  | 4313/6040 [01:16<00:30, 56.64it/s]
 76%|███████▌  | 4597/6040 [01:21<00:25, 56.66it/s]
 81%|████████  | 4881/6040 [01:26<00:20, 56.62it/s]
 86%|████████▌ | 5167/6040 [01:31<00:15, 56.76it/s]
 90%|█████████ | 5451/6040 [01:36<00:10, 56.69it/s]
 95%|█████████▍| 5735/6040 [01:41<00:05, 56.72it/s]
100%|█████████▉| 6019/6040 [01:47<00:00, 55.55it/s]
100%|██████████| 6040/6040 [01:47<00:00, 56.24it/s]test (NDCG@10: 0.5641, HR@10: 0.7944)
Epoch 81 iteration 0: 0.4167369604110718
Epoch 81 iteration 10: 0.4125152826309204
Epoch 81 iteration 20: 0.41768205165863037
Epoch 81 iteration 30: 0.43567517399787903
Epoch 81 iteration 40: 0.4216114580631256
Epoch 82 iteration 0: 0.4511592388153076
Epoch 82 iteration 10: 0.4620310366153717
Epoch 82 iteration 20: 0.43143031001091003
Epoch 82 iteration 30: 0.4327489733695984
Epoch 82 iteration 40: 0.44264522194862366
Epoch 83 iteration 0: 0.4380006194114685
Epoch 83 iteration 10: 0.418443888425827
Epoch 83 iteration 20: 0.4397277235984802
Epoch 83 iteration 30: 0.4067656397819519
Epoch 83 iteration 40: 0.4177885055541992
Epoch 84 iteration 0: 0.4064759612083435
Epoch 84 iteration 10: 0.4143339991569519
Epoch 84 iteration 20: 0.42253753542900085
Epoch 84 iteration 30: 0.42245379090309143
Epoch 84 iteration 40: 0.4237002432346344
Epoch 85 iteration 0: 0.4139358699321747
Epoch 85 iteration 10: 0.4323832392692566
Epoch 85 iteration 20: 0.4445022642612457
Epoch 85 iteration 30: 0.4206000566482544
Epoch 85 iteration 40: 0.40890827775001526
Epoch 86 iteration 0: 0.41237711906433105
Epoch 86 iteration 10: 0.4079848527908325
Epoch 86 iteration 20: 0.4073672592639923
Epoch 86 iteration 30: 0.4063476026058197
Epoch 86 iteration 40: 0.40418311953544617
Epoch 87 iteration 0: 0.43100860714912415
Epoch 87 iteration 10: 0.423517107963562
Epoch 87 iteration 20: 0.4161640703678131
Epoch 87 iteration 30: 0.42758429050445557
Epoch 87 iteration 40: 0.42266973853111267
Epoch 88 iteration 0: 0.40316569805145264
Epoch 88 iteration 10: 0.4217594861984253
